identifiant_ctv,objet,typologie,description,date_creation,statut,identifiant,cp_arrondissement,url_lic,date_fin,numero_stv,date_debut,niveau_perturbation,voie,impact_circulation,date_maj,maitre_ouvrage,precision_localisation,impact_circulation_detail,geo_point_2d.lat,geo_point_2d.lon,geo_shape.geometry.type,geo_shape.geometry.coordinates,geo_shape.type
483164,ENTRETIEN_RESEAU,2.0,Réparation de fuite.,2021-10-11,2,CP002161,75010,http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/NE04 INFO RIVE.pdf,2022-02-18,11,2021-10-22,2.0,199 rue La Fayette,RESTREINTE,2021-12-08,CPCU,,Neutralisation de la voie bus.,48.8809275602,2.36300682954,Polygon,"[[[2.363120955673701, 48.88097321877045], [2.36311598049849, 48.880937499681096], [2.362905580387697, 48.8808840319943], [2.362887163185636, 48.88091486735417], [2.363120955673701, 48.88097321877045]]]",Feature
472980,TRAVAUX_URGENCE,2.0,Fuite,2021-10-26,2,CP002173,75019,,2021-11-19,10,2021-11-02,1.0,64 av de Flandre,RESTREINTE,2021-10-26,CPCU,angle rue Riquet.,Maintien de la piste vélo et d'une file de circulation. Fermeture de la voie au niveau du terre-plein central.,48.888424866,2.37424031129,Polygon,"[[[2.374318260605095, 48.888437985549494], [2.374238172999796, 48.888376652273045], [2.374180764246392, 48.88840966496901], [2.374174001615172, 48.888431996691715], [2.374204744742553, 48.888455951663325], [2.3742797704279, 48.88845824761697], [2.374315352202045, 48.88843987331979], [2.374318260605095, 48.888437985549494]]]",Feature
389431,TRAVAUX_OUVRAGE,2.0,réfection de la peinture du  viaduc L6,2021-05-12,2,CP001985,75015,,2021-10-31,13,2021-05-10,2.0,bd de Grenelle,RESTREINTE,2021-05-12,RATP,en vis à vis du 115 au 139,circulation réduite au droit de l'emprise de grutage.,48.8485148001,2.29971060938,Polygon,"[[[2.298289450879879, 48.849049849142084], [2.2997558240663922, 48.84859537668054], [2.301229368491968, 48.84814187962158], [2.301338291328388, 48.84808540619367], [2.301241319784631, 48.84794967999623], [2.299146461168213, 48.8485970438263], [2.298274096781383, 48.84885130303877], [2.298263746095202, 48.84887027913946], [2.298095008635305, 48.84892354338382], [2.298084951362854, 48.8489206289043], [2.298159948389528, 48.84902767391561], [2.298289450879879, 48.849049849142084]]]",Feature
,CREATION_RESEAUX,2.0,Construction d'une liaison souterraine  Gambetta /Vincennes,2021-07-15,2,CP002097,75020,,2021-12-03,10,2021-08-17,2.0,rue des Balkans,IMPASSE,2021-07-15,RTE,entre la rue de Bagnolet/rue Vitruve.,selon le phasage des travaux.,48.8607650288,2.40660595629,Polygon,"[[[2.405919345465738, 48.86180716982869], [2.406530128737669, 48.86104254948948], [2.406771804458956, 48.86053913813739], [2.406994487289126, 48.86027451646622], [2.407286524149574, 48.85963446420379], [2.407331421682567, 48.85962126566193], [2.407242389992828, 48.859580563771026], [2.406958549392383, 48.86021528839535], [2.406929280461115, 48.86028492968958], [2.406801593250696, 48.86042386949872], [2.406739690536576, 48.860501401687095], [2.406423755317608, 48.86109570369114], [2.405891971872348, 48.86171040591811], [2.405851263106531, 48.86171288835457], [2.405919345465738, 48.86180716982869]]]",Feature
,CREATION_ENTRETIEN_OUVRAGE_ART,2.0,"Création d'un puits de service, travaux préparatoire du 26/08/19 au 30/08/19",2019-08-02,2,CP001477,75008,,2022-12-20,9,2019-08-26,2.0,Avenue de Messine,RESTREINTE,2019-08-02,SNCF EOLE,du n°2 au n°16,Maintien d'un file de circulation au droit de l'emprise.,48.8757298096,2.31452909361,Polygon,"[[[2.313937384330043, 48.876027117035385], [2.313974930275214, 48.87605231674796], [2.314718848891941, 48.875718687897425], [2.314751829124944, 48.875679615138374], [2.314923983836086, 48.87561873314292], [2.31520278205598, 48.875540614522286], [2.315195329178253, 48.87542159738105], [2.315171960904685, 48.87541551456593], [2.314820658735195, 48.87552058234331], [2.313844537666749, 48.87595519984275], [2.313937384330043, 48.876027117035385]]]",Feature
,REHABILITATION_IMMEUBLE,3.0,,2020-07-06,2,CP001663,75008,,2021-12-17,9,2020-07-15,2.0,rue du Faubourg Saint Honoré,RESTREINTE,2020-07-06,SAS Domus Saint Honoré,n°128,modification des files de circulation au droit de l'emprise,48.8722937521,2.31256863504,Polygon,"[[[2.312718233804942, 48.8722870153063], [2.312641516364344, 48.87222351740741], [2.312420426582367, 48.872303151551826], [2.312488173108466, 48.872363028574085], [2.312718233804942, 48.8722870153063]]]",Feature
,REAMENAGEMENT_SECTEUR,1.0,,2021-05-07,2,CP001984,75018,,2024-03-31,9,2020-02-21,1.0,,RESTREINTE,2021-05-07,,,Réduction de la circulation selon les phases.,48.8994568096,2.35952113172,Polygon,"[[[2.362749344991021, 48.89729874701104], [2.356613648667943, 48.89725874500838], [2.356266873601493, 48.90158897317446], [2.362435136217668, 48.90167212631942], [2.362749344991021, 48.89729874701104]]]",Feature
,INSPECTION_ENTRETIEN_RESEAU,2.0,,2021-06-30,2,CP002049,75008,,2021-11-26,9,2021-07-19,2.0,rue du fbg Saint Honoré /Avenue Hoche,RESTREINTE,2021-11-04,CPCU,,modification de circulation.,48.876632179,2.30165991649,Polygon,"[[[2.301747273543612, 48.87664271640002], [2.301720790933, 48.87662685675634], [2.301681379792886, 48.87660663903316], [2.3016155373405, 48.876620531946394], [2.301591639723476, 48.87662705483481], [2.301579930265745, 48.87663936053531], [2.30162156383637, 48.87665530770158], [2.301682401119323, 48.87663805443344], [2.301719023114738, 48.87665111782645], [2.301747273543612, 48.87664271640002]]]",Feature
458502 /458514,ENTRETIEN_RESEAU,2.0,Renouvellement de conduite,2021-11-25,2,CP002199,75014,,2022-06-24,12,2021-12-02,1.0,Avenue Reille,SENS_UNIQUE,2021-11-29,Eau de Paris,Entre René Coty et avenue de la sibelle,Mise à sens unique depuis avenue René Coty vers rue de la Sibelle,48.8243143454,2.33717061426,Polygon,"[[[2.338285440822663, 48.824468811796386], [2.338294115630374, 48.82442591178213], [2.336138839161664, 48.82416433574128], [2.336198992557852, 48.824229091265984], [2.3382854748933433, 48.824466127340536], [2.338285440822663, 48.824468811796386]]]",Feature
,CREATION_RESEAUX,2.0,remplacement de canalisation,2021-07-15,2,CP002101,75004,,2022-04-29,11,2021-09-06,1.0,rue de Rivoli,RESTREINTE,2021-07-15,EDP,du n°74 au n°78,"neutralisation de la coronapiste , ouverture à la circulation générale",48.8576848373,2.35097574859,Polygon,"[[[2.351336441277434, 48.85760038495667], [2.351266362603576, 48.85758096850985], [2.350640255044945, 48.85776079633113], [2.350666884679847, 48.85779425456975], [2.351336441277434, 48.85760038495667]]]",Feature
,TRAVAUX_OUVRAGE,2.0,Création d'un puits de service,2019-07-02,2,CP001430,75017,,2022-01-31,9,2019-07-29,1.0,avenue Carnot,BARRAGE_TOTAL,2019-07-02,SNCF EOLE,du n° 8 au n°22,"Circulation des véhicules dans les contre-allées, inversion de sens de circulation de la rue Anatole de la Forge.",48.8758758381,2.29316631307,Polygon,"[[[2.293696727494663, 48.875383159703915], [2.293522494989716, 48.875328449850954], [2.292641762207998, 48.87635930706683], [2.2928076771991632, 48.87642738896379], [2.293696727494663, 48.875383159703915]]]",Feature
